ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
67.9353762,18.1420724,0.0265,0.0227,-0.0062,9.346,0.014,78.1,1.141E+01,6.979,0.013,85.7,4.173E+00,1,0,0000,AA,10,57632.97010477,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.640140,95.680314
67.9353753,18.1420650,0.0293,0.0269,0.0056,9.404,0.018,59.9,6.694E+00,7.031,0.014,75.2,6.805E+00,1,0,0000,AA,10,59093.09705021,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.640273,98.080494
67.9353736,18.1420554,0.0245,0.0238,-0.0008,9.392,0.016,67.2,1.274E+01,6.976,0.012,89.6,5.570E+00,1,0,0000,AA,10,58361.17742170,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.640332,101.216865
67.9353746,18.1420583,0.0261,0.0273,-0.0031,9.418,0.020,55.3,5.027E+00,7.021,0.014,79.4,8.586E+00,1,0,0000,AA,10,59092.96627435,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.641754,100.243123
67.9353412,18.1419844,0.0273,0.0246,-0.0043,9.398,0.015,73.7,1.353E+01,7.018,0.013,86.3,6.799E+00,1,0,0000,AA,10,58519.82323488,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.641938,126.313959
67.9353779,18.1420903,0.0239,0.0226,-0.0068,9.373,0.017,65.5,9.475E+00,6.979,0.011,95.4,1.113E+01,1,0,0000,AA,10,58361.57013135,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.642813,89.903707
67.9353541,18.1420026,0.0260,0.0215,-0.0083,9.335,0.013,83.5,9.719E+00,6.918,0.013,86.4,4.697E+00,1,0,0000,AA,10,57072.26297503,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.643555,119.269042
67.9353783,18.1420774,0.0265,0.0235,0.0026,9.360,0.017,65.2,9.148E+00,6.904,0.013,86.3,3.690E+00,1,0,0000,AA,10,57633.36319744,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.645775,94.027806
67.9353763,18.1420599,0.0256,0.0231,0.0112,9.427,0.020,55.6,1.943E+01,7.024,0.011,97.0,1.107E+01,1,0,0000,AA,10,59092.24694382,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.646484,99.649101
67.9353498,18.1419929,0.0273,0.0224,-0.0076,9.437,0.014,80.2,9.402E+00,7.009,0.012,87.2,6.408E+00,1,0,0000,AA,10,58887.26177941,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.648883,122.595710
67.9353542,18.1419995,0.0225,0.0209,0.0069,9.365,0.016,67.6,7.411E+00,6.946,0.011,96.1,5.855E+00,1,0,0000,AA,10,57431.44861302,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.649378,120.113273
67.9353785,18.1420683,0.0266,0.0231,-0.0061,9.361,0.015,72.2,1.244E+01,6.979,0.012,89.1,5.044E+00,1,0,0000,AA,10,57633.23216652,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.649582,96.907218
67.9353780,18.1421166,0.0283,0.0271,-0.0075,9.310,0.019,57.6,6.430E+00,6.956,0.015,73.8,1.684E+00,1,0,0000,AA,10,56904.22071463,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.650243,81.531349
67.9353691,18.1420293,0.0319,0.0281,-0.0094,9.391,0.019,57.7,1.311E+01,6.977,0.014,76.4,3.323E+00,1,0,0000,AA,10,57431.18629575,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.650512,109.628577
67.9353586,18.1420064,0.0257,0.0211,-0.0061,9.323,0.014,74.9,9.645E+00,6.893,0.013,86.6,3.393E+00,1,0,0000,AA,10,57079.29076557,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.650584,117.554965
67.9353772,18.1420581,0.0250,0.0224,-0.0046,9.412,0.016,69.0,1.447E+01,6.989,0.013,82.8,7.084E+00,1,0,0000,AA,10,57997.01356477,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.650635,100.166228
67.9353790,18.1420647,0.0272,0.0236,0.0068,9.379,0.016,69.1,9.610E+00,6.934,0.015,73.4,2.933E+00,1,0,0000,AA,10,58728.66989684,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.652961,98.018196
