ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
67.8919514,18.1346074,0.0269,0.0234,-0.0035,7.789,0.016,66.2,20.3,4.953,0.013,86.2,31.76,1,0,0,AA,10,57633.03568394,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.340683,209.211817
67.892125,18.1347403,0.0215,0.0228,-0.0068,7.711,0.013,81.7,75.35,4.866,0.015,71.8,61.68,1,0,0,AA,10,57633.10113564,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.464406,67.050575
67.8920689,18.1347711,0.0232,0.0196,0.0065,7.729,0.014,79.1,35.87,4.871,0.014,80.2,46.83,1,0,0,AA,10,57633.23216652,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.375242,38.916287
67.8920908,18.1346307,0.0247,0.0244,-0.0076,7.774,0.016,67.4,11.57,5.034,0.017,62.9,14.61,1,0,0,AA,10,57633.36319744,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.376925,124.497595
67.8920692,18.1347115,0.019,0.0225,-0.008,7.661,0.015,72.3,37.15,5.397,0.011,101.9,307.4,1,0,0,AA,10,57633.49422888,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.249074,71.895699
67.8921926,18.1345362,0.0238,0.027,-0.0098,7.724,0.017,64.1,14.61,5.329,0.019,55.8,11.91,1,0,0,AA,10,57797.86948743,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.860659,130.0398
67.892116,18.1345425,0.0237,0.0199,-0.0058,7.775,0.017,62.2,22.3,5.079,0.014,78.5,34.21,1,0,0,AA,10,57798.0003914,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.662912,143.226408
67.8921298,18.1345808,0.0263,0.0194,0.0054,7.777,0.015,70.7,11.07,5.26,0.013,84.2,21.63,1,0,0,AA,10,57798.1314227,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.593075,131.517403
67.8921275,18.1345747,0.016,0.0155,-0.0023,7.783,0.014,79.3,15.59,5.177,0.009,117.9,38.66,1,0,0,AA,10,57798.19687466,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.602133,133.578751
67.8922237,18.1344717,0.0236,0.0259,0.0047,7.744,0.014,75.3,38.52,5.237,0.02,55.3,15.64,1,0,0,AA,10,57798.26232659,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,1.09696,135.759401
